case_id,citation,citation_style,year,court_or_series,number,volume,first_page,corpus_citation_count,parties,jade_href,parallel_citation,parallel_case_id,chunk_ref,page_ref,part_id,part_title,page_title,heading_path,chunk_ordinal,char_offset,occurrences_in_chunk,url,context
CASE/1924/AOJP/19/750,(1924) 19 AOJP 750,reported,1924,AOJP,,19,750,1,,,,,TMM/Part22/9/9/6,TMM/Part22/9,Part22,Part 22 Section 41 - Capable of Distinguishing,22.9. Words,Part 22 Section 41 - Capable of Distinguishing > 22.9. Words > 9.6 Value,7,229,1,https://manuals.ipaustralia.gov.au/trademark/9.-words,"rally inherently adapted to distinguish. Examples are TWO FOR ONE, MORE and WORTH THEIR WEIGHT IN GOLD (see Keystone Steel & Wire Co's Appn (1924) 19 AOJP 750 (‘Square Deal’)."
CASE/1924/RPC/41/658,(1924) 41 RPC 658,reported,1924,RPC,,41,658,1,,,,,TMM/Part21/3/3/10,TMM/Part21/3,Part21,Part 21 Non-traditional Signs,21.3. Shape (three-dimensional) trade marks,Part 21 Non-traditional Signs > 21.3. Shape (three-dimensional) trade marks > 3.10 Registered design as a trade mark,15,426,1,https://manuals.ipaustralia.gov.au/trademark/3.-shape-three-dimensional-trade-marks,"same three-dimensional object (United States Playing Card Co's Application [1908] 1 Ch 197; Charles Goodall & Son Ltd v John Waddington Ltd (1924) 41 RPC 658; Sobrefina S.A.'s Trade Mark Application [1974] RPC 672 at 680). However, the fact that features of shape and configuration of a container "
CASE/1924/RPC/42/264,(1924) 42 RPC 264,reported,1924,RPC,,42,264,1,,,,,TMM/Part26/6/6/1~1,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.1 Sound as well as appearance to be considered,2,391,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks," a trade mark, reference can be made to the words of Sargant LJ in the “ Tripcastroid” case, London Lubricants (1920) Limited's Application (1924) 42 RPC 264 at 279: The only similarity in the word “ Tripcastroid” to “ Castrol” is in the letters composing the centre of the new word. The terminati"
CASE/1925/CLR/37/305,(1925) 37 CLR 305,reported,1925,CLR,,37,305,1,,,,,TMM/Part22/15/15/3,TMM/Part22/15,Part22,Part 22 Section 41 - Capable of Distinguishing,22.15. Geographical names,Part 22 Section 41 - Capable of Distinguishing > 22.15. Geographical names > 15.3 Geographical names which have no inherent adaptation to distinguish,5,1758,1,https://manuals.ipaustralia.gov.au/trademark/15.-geographical-names,"ar of Trade Marks (1964) 111 CLR 511 (’Michigan’); Blount Inc v Registrar of Trade Marks (1998) 40 IPR 498 (‘Oregon’); Thomson v B. Seppelt (1925) 37 CLR 305 (’Great Western'); Harbin Brewing Co., Ltd [2012] ATMO 48 (11 May 2012) (‘Harbin’); Marriott Worldwide Corporation [2016] ATMO 1 (‘Fairfiel"
CASE/1925/RPC/42/264,(1925) 42 RPC 264,reported,1925,RPC,,42,264,1,,,,,TMM/Part26/6/6/6~2,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.6 Considering invented words,13,52,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,"It was found in London Lubricants (1920) Ltd's Appn (1925) 42 RPC 264 that the beginning of words is accentuated in comparison with the end of the word so that 'the first syllable of a word is, as a rule, far "
CASE/1926/HCA/57,[1926] HCA 57,neutral,1926,HCA,57,,,1,,,,,TMM/Part19A/3/3/1,TMM/Part19A/3,Part19A,Part 19A Use of a Trade Mark,19A.3. Use 'in the course of trade',Part 19A Use of a Trade Mark > 19A.3. Use 'in the course of trade' > 3.1 Dealings,2,713,1,https://manuals.ipaustralia.gov.au/trademark/3.-use-in-the-course-of-trade,"in order to conclude that the trade mark had been used in relation to the goods. Similarly, in Blackadder v The Good Roads Machinery Co Inc [1926] HCA 57, an Australian company imported machinery from the United States bearing the American exporter’s trade mark but removed it and affixed its "
CASE/1927/CLR/40/43,(1927) 40 CLR 43,reported,1927,CLR,,40,43,1,,,,,TMM/Part22/10#1,TMM/Part22/10,Part22,Part 22 Section 41 - Capable of Distinguishing,"22.10. Phonetic equivalents, misspellings and combinations of known words","Part 22 Section 41 - Capable of Distinguishing > 22.10. Phonetic equivalents, misspellings and combinations of known words",1,1195,1,https://manuals.ipaustralia.gov.au/trademark/10.-phonetic-equivalents-misspellings-and-combinations-of-known-words,g Adjectival form of words (see Sir Titus Salt's Appn (1894) 11 RPC 518 (‘Eboline’) and also Angelides v James Stedman Henderson Sweets Ltd (1927) 40 CLR 43 (‘Minties’)). Combinations of two or more known words (see De Cordova v Vick Chemical Co (1951) 68 RPC 103 (‘Vapo-Rub’)).
CASE/1929/CLR/41/475,(1929) 41 CLR 475,reported,1929,CLR,,41,475,1,,,[1929] HCA 6,CASE/1929/HCA/6,TMM/Part26/6/6/4~2,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.4 Trade marks that share the same or similar element,8,2629,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,ent has been used by a number of traders and should to some extent be discounted: Mond Staffordshire Refinery Co Ltd v Harlem [1929] HCA 6; (1929) 41 CLR 475 at 477–8; Wingate Marketing Pty Ltd v Levi Strauss & Co [1994] FCA 1001; (1994) 49 FCR 89 at 127; MID Sydney Pty Ltd v Australian Tourism C
CASE/1929/HCA/6,[1929] HCA 6,neutral,1929,HCA,6,,,1,,,(1929) 41 CLR 475,CASE/1929/CLR/41/475,TMM/Part26/6/6/4~2,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.4 Trade marks that share the same or similar element,8,2615,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,he shared element has been used by a number of traders and should to some extent be discounted: Mond Staffordshire Refinery Co Ltd v Harlem [1929] HCA 6; (1929) 41 CLR 475 at 477–8; Wingate Marketing Pty Ltd v Levi Strauss & Co [1994] FCA 1001; (1994) 49 FCR 89 at 127; MID Sydney Pty Ltd v A
CASE/1931/RPC/48/477,(1931) 48 RPC 477,reported,1931,RPC,,48,477,1,,,,,TMM/Part26/6/6/1~1,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.1 Sound as well as appearance to be considered,2,1501,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,tively similar; Bayer’s Application (1947) 64 RPC 125 where DIASIL and ALASIL were held to be not deceptively similar; Magdalena Securities (1931) 48 RPC 477 (Ucolite)where it was held UCOLITE and COALITE were deceptively similar. Clipsal Australia Pty Ltd v Clipso Electrical Pty Ltd (No 3) [2017
CASE/1932/RPC/49/195,(1932) 49 RPC 195,reported,1932,RPC,,49,195,2,,,,,TMM/Part28/3/3/1~5,TMM/Part28/3,Part28,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances",28.3. Examining evidence of honest concurrent use - the five criteria,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances > 28.3. Examining evidence of honest concurrent use - the five criteria > 3.1 The honesty or otherwise of the concurrent use",6,1903,1,https://manuals.ipaustralia.gov.au/trademark/3.-examining-evidence-of-honest-concurrent-use---the-five-criteria,"h are likely to cause confusion and which would otherwise fail on the tests of ss 44(1) or 44(2) (see Re Alex Pirie & Son Ltd’s Application (1932) 49 RPC 195 and (1933) 50 RPC 147). As such, even a high likelihood of confusion (such as that posed by identical marks) does not bar registration unde"
CASE/1932/RPC/49/195,(1932) 49 RPC 195,reported,1932,RPC,,49,195,2,,,,,TMM/Part28/3/3/4~1,TMM/Part28/3,Part28,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances",28.3. Examining evidence of honest concurrent use - the five criteria,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances > 28.3. Examining evidence of honest concurrent use - the five criteria > 3.2 The degree of confusion that is likely between the trade marks in question > 3.4 The extent of use in duration, area and volume",13,1883,1,https://manuals.ipaustralia.gov.au/trademark/3.-examining-evidence-of-honest-concurrent-use---the-five-criteria,"s. In ‘Granada’ Trade Mark [1979] RPC 303, 3 years use prior to filing was considered sufficient. In Re Alex Pirie & Sons Ltd’s Application (1932) 49 RPC 195, 6 years use was demonstrated, and in Re John Fitton & Co Ltd’s Application (1949) 66 RPC 110, the application was allowed based on use ove"
CASE/1933/RPC/50/147,(1933) 50 RPC 147,reported,1933,RPC,,50,147,2,,,,,TMM/Part28/2#1,TMM/Part28/2,Part28,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances",28.2. Honest concurrent use - para 44(3)(a),"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances > 28.2. Honest concurrent use - para 44(3)(a)",1,1073,1,https://manuals.ipaustralia.gov.au/trademark/2.-honest-concurrent-use---paragraph-443a, when applying s 34(1) of the 1955 Act (the equivalent of para 44(3)(a) of the 1995 Act) were set out by Lord Tomlin in Pirie’s Application (1933) 50 RPC 147. In John Fitton & Company Limited's application for a trade mark (1949) 66 RPC 110 the Assistant Comptroller refined those criteria to a li
CASE/1933/RPC/50/147,(1933) 50 RPC 147,reported,1933,RPC,,50,147,2,,,,,TMM/Part28/3/3/1~5,TMM/Part28/3,Part28,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances",28.3. Examining evidence of honest concurrent use - the five criteria,"Part 28 Honest Concurrent Use, Prior Use or Other Circumstances > 28.3. Examining evidence of honest concurrent use - the five criteria > 3.1 The honesty or otherwise of the concurrent use",6,1925,1,https://manuals.ipaustralia.gov.au/trademark/3.-examining-evidence-of-honest-concurrent-use---the-five-criteria,"confusion and which would otherwise fail on the tests of ss 44(1) or 44(2) (see Re Alex Pirie & Son Ltd’s Application (1932) 49 RPC 195 and (1933) 50 RPC 147). As such, even a high likelihood of confusion (such as that posed by identical marks) does not bar registration under s 44(3)(a), although"
CASE/1935/RPC/52/136,(1935) 52 RPC 136,reported,1935,RPC,,52,136,1,,,,,TMM/Part26/6/6/6~1,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.6 Considering invented words,12,167,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,"sibility of deception and confusion between words which are not in common use in the language. In William Bailey (Birmingham) Ltd.’s Appln. (1935) 52 RPC 136, Farwell J said at [153]: No doubt in the case of a fancy or invented word, a word which is not in use in the English language, the possibi"
CASE/1936/RPC/53/355,(1936) 53 RPC 355,reported,1936,RPC,,53,355,1,,,,,TMM/Part22/5#1,TMM/Part22/5,Part22,Part 22 Section 41 - Capable of Distinguishing,22.5. Trade marks considered to have limited inherent adaptation to distinguish,Part 22 Section 41 - Capable of Distinguishing > 22.5. Trade marks considered to have limited inherent adaptation to distinguish,1,419,1,https://manuals.ipaustralia.gov.au/trademark/5.-trade-marks-considered-to-have-limited-inherent-adaptation-to-distinguish," words and expressions which may be desired by other traders to describe or extol their goods/services. For example: J & P Coats Ltd's Appn (1936) 53 RPC 355 at 380 (‘Sheen’) where the court found that the word SHEEN when applied to cotton was ‘clearly not a merely laudatory word like ""perfection"
CASE/1937/RPC/54/327,(1937) 54 RPC 327,reported,1937,RPC,,54,327,1,,,,,TMM/Part22/15/15/1~1,TMM/Part22/15,Part22,Part 22 Section 41 - Capable of Distinguishing,22.15. Geographical names,Part 22 Section 41 - Capable of Distinguishing > 22.15. Geographical names > 15.1 Is a geographical name always the ordinary signification of a sign?,2,1052,1,https://manuals.ipaustralia.gov.au/trademark/15.-geographical-names,"&Co. Ltd. v. Clark, Son &Morland Ltd. (the Glastonbury Case (1938) AC 557, at p 562; (1938) 55 RPC 253, at p 257) (see also the Livron Case (1937) 54 RPC 327, at p 339) … The above passage provides that there may be instances where the ordinary signification of a sign is not a geographical name e"
CASE/1937/AOJP/7/3599,(1937) 7 AOJP 3599,reported,1937,AOJP,,7,3599,1,,,,,TMM/Part29/9#1,TMM/Part29/9,Part29,Part 29 Section 43 - Trade Marks likely to Deceive or Cause Confusion,29.9. Geographical references,Part 29 Section 43 - Trade Marks likely to Deceive or Cause Confusion > 29.9. Geographical references,1,715,1,https://manuals.ipaustralia.gov.au/trademark/10.-geographical-references,"ertain quality or standard, or exhibit attributes for which the geographical reference is known. This was the case in McGrath's Application (1937) 7 AOJP 3599 where registration was refused for “Chateau Orleans Purest Hospital Brandy” for fermented liquors and spirits. The Registrar determined tha"
CASE/1937/HCA/36,[1937] HCA 36,neutral,1937,HCA,36,,,1,,,,,TMM/Part26/6/6/3~1,TMM/Part26/6,Part26,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs,26.6. Factors to consider when comparing trade marks,Part 26 Section 44 and Regulation 4.15A - Conflict with Other Signs > 26.6. Factors to consider when comparing trade marks > 6.3 The 'idea' of the trade mark,5,199,1,https://manuals.ipaustralia.gov.au/trademark/6.-factors-to-consider-when-comparing-trade-marks,"n many differences, a ground for rejection under section 44 could apply if they did in fact convey the same idea. (See Jafferjee v Scarlett [1937] HCA 36(‘Jafferjee’). Some trade marks which have features in common are seen to be different when viewed side by side. However, if the same idea i"
